trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,64,96,4,2,1,1,8,8,16,16,GSPLIT,1795630,2000000,13866965,2000000,171719,52257,1023,12840,656145,0,676,390,19.745,16,10.956,55,16.876,1.114,16,16,637.0
deepsjeng531,128,160,4,2,1,1,8,8,16,16,GSPLIT,1795630,2000000,13866965,2000000,171719,52257,1023,12840,656144,0,0,390,19.744,16,10.956,55,16.877,1.114,16,16,1085.0
deepsjeng531,32,64,4,2,1,2,2,2,16,16,GSPLIT,1641655,2000000,3169355,2000000,171719,46910,1023,12840,503606,0,184523,172,7.22,20,5.999,44,10.037,1.218,16,20,411.0
deepsjeng531,64,96,4,2,1,2,2,2,16,16,GSPLIT,1608096,2000000,3102517,2000000,171719,46773,1023,12840,487453,0,12109,172,4.468,20,7.269,70,12.383,1.244,16,20,635.0
deepsjeng531,128,160,4,2,1,2,2,2,16,16,GSPLIT,1607918,2000000,3102163,2000000,171719,46772,1023,12840,487387,0,0,172,4.434,20,7.294,84,12.419,1.244,16,20,1083.0
deepsjeng531,32,64,4,2,1,2,4,4,16,16,GSPLIT,1570742,2000000,6037007,2000000,171719,51499,1023,12840,529554,0,410206,245,14.621,20,9.171,50,14.469,1.273,16,20,415.0
deepsjeng531,64,96,4,2,1,2,4,4,16,16,GSPLIT,1537322,2000000,5903672,2000000,171719,51417,1023,12840,513968,0,6739,202,10.891,20,11.491,70,18.231,1.301,16,20,639.0
deepsjeng531,128,160,4,2,1,2,4,4,16,16,GSPLIT,1537258,2000000,5903416,2000000,171719,51417,1023,12840,513972,0,0,202,10.859,20,11.517,104,18.263,1.301,16,20,1087.0
deepsjeng531,32,64,4,2,1,2,8,8,16,16,GSPLIT,1564638,2000000,12018417,2000000,171719,52334,1023,12840,530750,0,447460,357,20.354,20,9.986,45,15.479,1.278,16,20,423.0
deepsjeng531,64,96,4,2,1,2,8,8,16,16,GSPLIT,1533430,2000000,11768785,2000000,171719,52335,1023,12840,515630,0,6622,340,16.665,20,12.181,70,18.974,1.304,16,20,647.0
deepsjeng531,128,160,4,2,1,2,8,8,16,16,GSPLIT,1533393,2000000,11768489,2000000,171719,52335,1023,12840,515615,0,0,340,16.637,20,12.206,85,19.003,1.304,16,20,1095.0
deepsjeng531,32,64,4,2,2,1,2,2,16,16,GSPLIT,1863990,2000000,3612381,2000000,171719,47733,1023,12840,657408,0,281202,172,8.802,20,7.342,41,11.517,1.073,16,20,412.0
deepsjeng531,64,96,4,2,2,1,2,2,16,16,GSPLIT,1838781,2000000,3561895,2000000,171719,47768,1023,12840,639580,0,8070,172,5.686,20,8.998,58,14.304,1.088,16,20,636.0
deepsjeng531,128,160,4,2,2,1,2,2,16,16,GSPLIT,1838693,2000000,3561719,2000000,171719,47768,1023,12840,639501,0,0,172,5.673,20,9.009,64,14.317,1.088,16,20,1084.0
deepsjeng531,32,64,4,2,2,1,4,4,16,16,GSPLIT,1820912,2000000,7036287,2000000,171719,51844,1023,12840,680259,0,501118,245,15.632,20,9.828,51,14.977,1.098,16,20,416.0
deepsjeng531,64,96,4,2,2,1,4,4,16,16,GSPLIT,1794356,2000000,6930119,2000000,171719,51837,1023,12840,661727,0,2552,234,11.778,20,12.12,60,18.548,1.115,16,20,640.0
deepsjeng531,128,160,4,2,2,1,4,4,16,16,GSPLIT,1794349,2000000,6930091,2000000,171719,51837,1023,12840,661682,0,0,234,11.771,20,12.125,65,18.555,1.115,16,20,1088.0
deepsjeng531,32,64,4,2,2,1,8,8,16,16,GSPLIT,1814684,2000000,14019373,2000000,171719,52255,1023,12840,679534,0,534868,394,20.806,20,10.525,48,15.844,1.102,16,20,424.0
deepsjeng531,64,96,4,2,2,1,8,8,16,16,GSPLIT,1788579,2000000,13810589,2000000,171719,52255,1023,12840,661077,0,1868,340,17.144,20,12.713,60,19.266,1.118,16,20,648.0
deepsjeng531,128,160,4,2,2,1,8,8,16,16,GSPLIT,1788577,2000000,13810573,2000000,171719,52255,1023,12840,661034,0,0,340,17.138,20,12.716,65,19.272,1.118,16,20,1096.0
deepsjeng531,32,64,4,2,2,2,2,2,16,16,GSPLIT,1641491,2000000,3169029,2000000,171719,46909,1023,12840,504262,0,187505,172,7.129,24,6.077,44,10.131,1.218,16,24,422.0
deepsjeng531,64,96,4,2,2,2,2,2,16,16,GSPLIT,1607798,2000000,3101925,2000000,171719,46771,1023,12840,488567,0,16541,168,4.057,24,7.562,70,12.791,1.244,16,24,646.0
deepsjeng531,128,160,4,2,2,2,2,2,16,16,GSPLIT,1607463,2000000,3101257,2000000,171719,46770,1023,12840,488207,0,0,168,3.975,24,7.603,92,12.871,1.244,16,24,1094.0
deepsjeng531,32,64,4,2,2,2,4,4,16,16,GSPLIT,1569362,2000000,6031484,2000000,171719,51499,1023,12840,531238,0,457045,245,14.34,24,9.38,53,14.73,1.274,16,24,426.0
deepsjeng531,64,96,4,2,2,2,4,4,16,16,GSPLIT,1533988,2000000,5890365,2000000,171719,51411,1023,12840,513735,0,13057,195,9.362,24,12.633,72,19.7,1.304,16,24,650.0
deepsjeng531,128,160,4,2,2,2,4,4,16,16,GSPLIT,1533692,2000000,5889181,2000000,171719,51411,1023,12840,513400,0,0,195,9.274,24,12.678,110,19.785,1.304,16,24,1098.0
deepsjeng531,32,64,4,2,2,2,8,8,16,16,GSPLIT,1562833,2000000,12003987,2000000,171719,52333,1023,12840,532434,0,521377,355,19.724,24,10.507,51,16.088,1.28,16,24,434.0
deepsjeng531,64,96,4,2,2,2,8,8,16,16,GSPLIT,1529705,2000000,11739019,2000000,171719,52333,1023,12840,516453,0,13274,336,14.769,24,13.648,72,20.793,1.307,16,24,658.0
